"시설명","시설유형명","설림유형명","시설정보","홈페이지URL","시설전화","구명칭","시설우편번호","시설주소1","시설주소2","시설위도","시설경도","이용정보","주차정보"
"면목5동작은도서관","도서관","구립","면목5동 주민센터에 위치하고 있는 작은도서관","http://smlib.jungnanglib.seoul.kr/small/prgm/information.do?libCd=104","02-2094-6164","중랑구","02231","서울 중랑구 동일로 619 (면목동 면목5동 복합청사)","2층","37.585751895","127.079641587"," ▣ 이용시간 및 휴관일  1. 이용시간안내 월-금 09:00 ~ 18:00  2. 휴관일(정기휴관일) 주말(토 일) 및 공휴일  ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호와 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 중랑구 소재 사업장 직장인 : 사업자등록증(개인사업자) 관내 사업장 재직증명서  3. 대출회원 가입절차 - 중랑구 작은도서관 홈페이지(http://www.jungnanglib.seoul.kr/library)에서 회원가입 ※ ’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때  ※ 신분증과 재발급수수료(1000원)를 지참하여 각 도서관 방문 후 본인 확인 ※ 회원증 재발급  ▣ 자료이용안내  1. 대출 및 반납 - 대상 : 중랑구 구립도서관 대출회원 - 대출권수 : 1인당 5권 - 대출기간 : 2주  - 반납연기 : 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(내서재)에서 연기 신청 - 회원증 미지참시 대출 불가(아동은 부모님이 자녀카드로 대출 가능)  2. 자료예약안내 - 대상 : 현재 대출 중인 자료에 한해서만 가능 - 규정 : 한 자료당 최대 3명(1~3순위)까지 도서관별 2권 통합 8권 예약 가능 ※ 예약자료 대출안내 후 만기일(2일) 이내 대출해 주시기 바랍니다.(만기일 지나면 자동 취소)  -방법 :  ※ 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 ※ 도서관 자료실 데스크에 방문하여 예약신청      ",""
"묵1동작은도서관","도서관","구립","묵1동 주민센터에 위치하고 있는 작은도서관","http://smlib.jungnanglib.seoul.kr/small/prgm/information.do?libCd=110","02-2094-6404","중랑구","02034","서울 중랑구 공릉로2가길 5 (묵동 묵1동 주민센터)","2층","37.612411497","127.078543719"," ▣ 이용시간 및 휴관일  1. 이용시간안내 월-금 09:00 ~ 18:00  2. 휴관일(정기휴관일) 주말(토 일) 및 공휴일  ▣ 회원가입안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주민등록번호와 주소가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 중랑구 소재 사업장 직장인 : 사업자등록증(개인사업자) 관내 사업장 재직증명서  3. 대출회원 가입절차 - 중랑구 작은도서관 홈페이지(http://www.jungnanglib.seoul.kr/library)에서 회원가입 ※ ’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  4. 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때  ※ 신분증과 재발급수수료(1000원)를 지참하여 각 도서관 방문 후 본인 확인 ※ 회원증 재발급  ▣ 자료이용안내  1. 대출 및 반납 - 대상 : 중랑구 구립도서관 대출회원 - 대출권수 : 1인당 5권 - 대출기간 : 2주  - 반납연기 : 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(내서재)에서 연기 신청 - 회원증 미지참시 대출 불가(아동은 부모님이 자녀카드로 대출 가능)  2. 자료예약안내 - 대상 : 현재 대출 중인 자료에 한해서만 가능 - 규정 : 한 자료당 최대 3명(1~3순위)까지 도서관별 2권 통합 8권 예약 가능 ※ 예약자료 대출안내 후 만기일(2일) 이내 대출해 주시기 바랍니다.(만기일 지나면 자동 취소)  -방법 :  ※ 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 ※ 도서관 자료실 데스크에 방문하여 예약신청      ",""
"중랑상봉도서관 ","도서관","구립","책으로 여는 미래 미래를 여는 문","http://www.jungnanglib.seoul.kr/sblib/","02-2209-0090","중랑구","02139","서울 중랑구 동일로114길 10 (상봉동 상봉2동 복합청사)"," ","37.615275","127.086990","▣ 이용시간 및 휴관일  1. 이용시간안내 - 평일:  ※ 오전 9시 ~ 오후 6시  - 주말: ※ 오전 9시 ~ 오후 5시  2. 휴관일(정기휴관일) - 매주 월요일 - 일요일을 제외한 법정공휴일 및 근로자의 날(5월 1일) 창립기념일(12월 1일) - 도서관 사정에 의한 임시 휴관일   ▣ 도서대출회원 가입 안내  1. 대상 - 주민등록상 서울시민 서울시 소재 사업장 직장인  2. 구비서류 - 중학생 이상 : 주민등록증/주민등록등본/학생증/운전면허증 중 하나 ※ 학생증은 주소와 주민등록번호가 기재된 것만 가능 - 영아(0세)~초등학교 6학년 : 주민등록등본 - 외국인 : 외국인등록증 - 서울시 소재 사업장 직장인 : 사업자등록증(개인사업자) 재직증명서  3. 대출회원 가입절차 - 홈페이지 또는 자료실 내 회원가입PC에서 회원가입 ※’본인명의의 휴대폰’ 또는 ’아이핀’으로 본인 인증 - 신분증을 지참하여 각 도서관 방문 후 본인 확인 - 회원증 발급  ▣ 회원카드 재발급 - 분실(분실신고) 또는 훼손으로 인하여 카드 사용이 불가능할 때 - 신분증과 재발급수수료(1000원 현금결제)를 지참하여 각 도서관 방문 후 본인 확인 - 회원증발급 ※ 수수료 결재시 신용카드 사용은 불가합니다. ※ (구)카드(JN MM 등 문자로 시작하는 회원증) 교체발급시 (구)카드를 제출하시면 무상교체해드립니다.  ▣ 자료대출안내  1. 대출자격 - 회원증을 소지한 본인에 한해 도서 대출(아동은 부모님이 자녀카드로 대출 가능) - 중학생 이상 회원의 경우 가족회원 등록 시 대리대출 가능 ※ 가족회원 등록방법 : 가족관계증명서 건강보험증 주민등록등본 중 1부와 가족 회원증 지참하여 자료실 방문  2. 대출기한 - 도서 대출일로부터 14일 이내  3. 대출권수 - 도서대출권수 : 5권 통합 20권 대출 가능  4. 반납연기 - 1회 7일 연기가능 (단 예약자료의 경우 반납연기 불가) ※ 반납기일 이전에 전화 및 홈페이지(나만의 도서관 → 내서재)에서 연기 신청  5. 재대출 - 반납한 도서는 반납 후 1일 후 재대출  ▣ 반납 및 예약안내  1. 자료반납안내 - 자료실 운영시간 내 : 대출한 자료실로 반납 - 자료실 운영시간 후(휴관 시) : 중랑상봉복합청사 정문 앞 무인도서 반납함에 반납(다음 개관일 오전 9시에 반납처리) - 기타 : 우편반납 가능 (주소 : 서울특별시 중랑구 동일로 114길 10 중랑상봉도서관) - 도서연체 시(반납기한 초과시) : 반납일 다음날부터 연체일수 만큼 대출정지  2. 자료예약안내 ① 대상 - 현재 대출 중인 자료에 한해서만 가능 ② 규정 - 한 자료당 최대 3명(1~3순위)까지 1인당 통합 5권 예약 가능 - 상호대차 신청건수 : 도서관별 5권 가능(단 대출권수에 포함) - 예약자료 대출 안내 SMS 수신 후 만기일(2일) 이내 방문(만기일 지나면 자동 취소) ③ 방법 - 도서관 홈페이지에서 자료검색 후 예약하기 버튼 클릭 - 도서관 자료실 데스크에 방문하여 예약신청  ▣ 복사프린트 안내 및 주의사항  1. 복사/프린트 안내 ① 위치 - 복사 : 종합자료실(4층) 스마트라운지(5층) - 프린트 : 스마트라운지(5층) ② 요금 - 복사 : A4 40원 / B4 50원 - 프린트 : A4 50원 - 컬러 : A4 300원 ③복사/프린트 결재방법 - 신용카드 체크카드 티머니 결제  2. 이용자 주의사항 - 대출카드는 타인에게 양도 및 대여할 수 없으며 도서대출시 반드시 제시하여야 합니다. - 반납연체시 반납일 다음날부터 연체일수만큼 대출이 정지됩니다. - 대출도서의 분실 및 훼손 시 동일한 도서로 변상하거나 품절(절판)시 현재 시가로 변상하여야 합니다. - 주소 전화번호 등 개인 정보의 변경 시 도서관에 신고하셔야 합니다. - 대출카드 분실 시 즉시 도서관에 신고하셔야 합니다.","지하 18면"
"신당5동작은도서관","도서관","구립","신당5동 작은도서관","https://www.e-junggulib.or.kr/SJGL/Info/Intro/village.csp?HLOC=SJGL&#38;COUNT=2i5kzb4o00&#38;Kor=1","02-2253-4901","중구","04583","서울 중구 퇴계로90길 42 (신당동 경로당)","2층","37.563472525","127.021684279","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 평일 : 10:00 ~ 21:00  2. 주말 : 토요일 10:00 ~ 14:00 (일요일 휴무)  3. 점심시간 : 12:00 ~ 13:00 ","주차시설 없음"
"남산타운문화센터어린이도서관","도서관","구립","어린이 도서관","https://www.e-junggulib.or.kr/SJGL/Info/Intro/nslib01.csp","02-2230-2941","중구","04595","서울 중구 다산로 32 (신당동 남산타운)"," ","37.54931240804538","127.01181150109109","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 유아어린이실  - 월요일법정공휴일 : 휴실  - 화~일요일 : 09:00~22:00	  ※ 이용방법 : 이용자 누구나 열람가능 회원카드 발급 후 도서대출 가능  ※ 총 52개 좌석과 5대 컴퓨터 보유   ▣ 휴관일  - 정기휴관일 : 매주 월요일 법정 공휴일  - 임시휴관일 : 도서관의 특별한 사정으로 휴관   ▣ 자료이용안내  1. 자료예약   - 현재 대출 중인 자료에 한해서 가능  - 1자료당 최대 3명까지 1인당 3권까지 예약이 가능  - 예약도서 대출안내를 받으신 후 3일 이내 대출하지 않으면 다음 순위예약자에게 대출이 됨  - 직접방문 전화 홈페이지 통해서 가능  2. 자료연체   - 1일 1권당 100원  - 30일 경과 시에는 30일까지는 연체료 지불하고 그 이후는 연체일 만큼 대출불가  3.자료분실  - 자료 분실 및 훼손시 동일 자료로 변상하거나 자료의 시가에 상당하는 금액으로 변상  - 자료 변상과 함께 자료정리비용 1000원 부과  4. 자료복사 : A4 1장당 30원  5. 무인자동반납기  - 도서관 운영시간 외에 도서관 앞에 있는 도서반납기에 직접 반납 가능  - 문의 : 02) 2280-8486   ▣ 희망도서신청  - 월 1인 5권 이내 신청 가능   ▣ 홈페이지 이용안내  1. 회원ID : 도서관 회원카드 ID와 동일  2. 비밀번호 : 휴대폰번호 뒷자리 (홈페이지 로그인 후 변경가능)  3. 도서검색 및 전자책 이용가능","- 지하1층 10대 주차 가능"
"가온도서관","도서관","구립","자료실 열람실이 있으며연중무휴","https://www.e-junggulib.or.kr/SJGL/Info/Intro/jglib01.csp?HLOC=SJGL&#38;COUNT=24ikbnf200&#38;Kor=1","02-2280-8470","중구","04607","서울 중구 동호로14길 18 (신당동 중구 구립도서관)"," ","37.556401314","127.010780424","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 종합자료실/유아어린이실  - 월요일법정공휴일 : 09:00~18:00  - 화~금요일 : 09:00~23:00	  - 토일요일 : 09:00~22:00  2. 열람실  - 월요일법정공휴일 : 09:00~18:00  - 화~금요일 : 08:00~23:00  - 토일요일 : 08:00~22:00  3. 휴관일 : 연중무휴   ▣ 자료이용안내  1. 자료예약  현재 대출 중인 자료에 한해서 가능 1자료당 최대 3명까지 1인당 3권까지 예약이 가능 예약도서 대출안내를 받으신 후 3일 이내 대출하지 않으면 다음 순위예약자에게 대출이 됨 직접방문 전화 홈페이지 통해서 가능  2. 자료연체  1일 1권당 100원 30일 경과 시에는 30일까지는 연체료 지불하고 그 이후는 연체일 만큼 대출불가  3. 분실자료변상 자료 분실 및 훼손시 동일 자료로 변상하거나 자료값에 상당하는 금액으로 변상해야함 도서정리비용(1000원) 별도 변상   ▣ 희망도서신청  1. 희망도서 신청  - 신청자격 : 가온도서관 회원  - 신청제한 : 매월 최대 5권  2. 신청대상   - 지역주민 및 청소년의 교양과 정서함양에 도움을 줄 수 있는 도서로서 도서관에 소장되지 않은 도서  3. 구매주기  - 월 1-2회 (예산에 따라 변경될 수 있음)  4. 구입 제외 및 제한대상 - 도서관 장서로서 부적합한 자료는 선정에서 제외 및 제한 됨  - 청소년 정서에 바람직하지 않은 영향을 줄 수 있는 문학도서  - 대학교재 심화단계 전문서  - 전집류 시리즈도서 SET  - 개인적인 수험서 학습서 참고자료  - 출판년도가 오래된 도서  - 문고본 스프링제본 도서 50페이지 미만의 소책자 8절지 등 수험서  - 동일 서명 - 다른 출판사 도서가 지나치게 많은 경우  - 판타지 무협지 로맨스 엽기소설 만화류 등  - 연속간행물 논문 비도서자료(CD DVD)  - 가격이 35000원 이상 되는 고가도서 당해년도 기준 5년 이내 출판된 도서  - 이 외 소장하기에 부적합하다고 판단되는 자료  5. 희망도서의 처리방법  - 구입된 도서는 정리된 후 신청자에게 개별 SMS 통보 (SMS발송 후 3일간 신청자 우선대출)   ▣ 문화프로그램 안내 (유료)  - 월별로 다양한 문화프로그램 진행  -동화구연 독서논술 어학강좌 등   ▣ 영화 상영 (무료)  - 장소 : 4층 문화강좌실  - 시간 : 매주 일요일 오후 2시  ▣ 도서관 견학  - 대상 : 유치원 초등학생 및 기타 희망단체  - 내용 : 도서관 소개 및 이용방법 교육","주차시설 없음 (공영주차장 이용)"
"다산동작은도서관","도서관","구립","다산동 작은도서관","https://www.e-junggulib.or.kr/SJGL/Info/Intro/village.csp?HLOC=SJGL&#38;COUNT=2i5kzb4o00&#38;Kor=1","02-2237-5893","중구","04608","서울 중구 동호로12길 89 (신당동 신당2동경로당)"," ","37.55917668","127.012050003","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 평일 : 월 - 10:00~21:00 / 화~금 - 10:00~22:00  2. 주말 : 토요일 10:00 ~ 18:00 (일요일 휴무)  3. 점심시간 : 12:00 ~ 13:00 ","주차시설 없음"
"중구청작은도서관","도서관","구립","중구청작은도서관","https://www.e-junggulib.or.kr/SJGL/Info/Intro/village.csp?HLOC=SJGL&#38;COUNT=2u2hJpr700&#38;Kor=1","02-3396-4003","중구","04558","서울 중구 창경궁로 17 (예관동 중구청청사)","1층","37.5637584","126.9975517","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 평일운영시간 : 09:00 ~ 18:00  2. 주말운영시간 : 휴관  3. 점심시간 : 12:00 ~ 12:30","1. 주차요금 기본 30분 1000원 이후 10분당 1000원(최초10분 무료)  - 2017.6월부터 (카드전용)무인정산주차장 운영  - 출차 시 카드(신용ㆍ체크)를 미리 준비하시면 편리합니다.  2. 주차가능대수: 60대  - 장애인전용 주차구역 : 4대 주차가능(지하2층 주차장)  - 매월 넷째주 수요일 「대중교통 이용의 날」은 주차장이 폐쇄되니 대중교통을 이용바랍니다. (장애인 임산부 동승차량 긴급차량은 제외)  3. 문의전화 : 02-3396-4000(주차관제센터)"
"회현동작은도서관","도서관","구립","회현동작은도서관","https://www.e-junggulib.or.kr/SJGL/Info/Intro/village.csp?HLOC=SJGL&#38;COUNT=2i5kzb4o00&#38;Kor=1","02-3396-6558","중구","04635","서울 중구 퇴계로8길 46 (회현동1가 회현동주민센터)","2층","37.557308322","126.97942934","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 평일 : 10:00 ~ 18:00  2. 주말 : 토요일 10:00 ~ 17:00 (일요일 휴무)  3. 점심시간 : 없음","주차 불가"
"동화동작은도서관","도서관","구립","책 소장권수:14406권회원가입:신분증지참(어린이는 주민등록등본 지참)","https://www.e-junggulib.or.kr/SJGL/Info/Intro/village.csp?HLOC=SJGL&#38;COUNT=2i5kzb4o00&#38;Kor=1","02-2233-2626","중구","04587","서울 중구 다산로36길 100 (신당동 동화동주민센터)","1층","37.559968159","127.019536889","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 평일 : 10:00 ~ 21:00  2. 주말 : 토요일 10:00 ~ 14:00 (일요일 휴무)  3. 점심시간 : 12:00 ~ 13:00 ","주차 가능(협소)"
"약수동작은도서관","도서관","구립","약수동작은도서관","https://www.e-junggulib.or.kr/SJGL/Info/Intro/village.csp?HLOC=SJGL&#38;COUNT=2i5kzb4o00&#38;Kor=1","02-2232-8324","중구","04596","서울 중구 다산로8길 32 (신당동 대한예수교장로회 약수교회)","B2층","37.552572747","127.011197767","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 평일 : 화~금 10:00 ~ 18:00  2. 주말 : 일요일 10:00 ~ 17:00 (월요일 토요일 휴무)  3. 점심시간 : 12:00 ~ 13:00 (일요일 점심시간 없음) ","주차가능"
"신당동작은도서관","도서관","구립","신당동 작은도서관","https://www.e-junggulib.or.kr/SJGL/Info/Intro/village.csp?HLOC=SJGL&#38;COUNT=2i5kzb4o00&#38;Kor=1","02-2254-1212","중구","04610","서울 중구 다산로29길 10 (신당동 신당1동 노인복지관)","2층","37.561010274","127.013475717","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 평일 : 10:00 ~ 21:00  2. 주말 : 토요일 10:00 ~ 14:00 (일요일 휴무)  3. 점심시간 : 12:00 ~ 13:00 ","주차시설 없음"
"청구동작은도서관","도서관","구립","청구동 작은도서관","https://www.e-junggulib.or.kr/SJGL/Info/Intro/village.csp?HLOC=SJGL&#38;COUNT=2i5kzb4o00&#38;Kor=1","02-2234-8771","중구","04592","서울 중구 다산로24가길 23 (신당동 동산공영주차장)","문화마당","37.556182394","127.015809761","▣ 회원등록 및 대출  1. 회원카드  - 기 준 : 주민등록상 거주지가 서울이거나 서울시에 재직중인 직장인  - 발급비용 1000원 / 재발급비 동일  - 신청서류  * 유아ㆍ어린이 : 주민등록등본 혹은 의료보험증  * 중ㆍ고등학생 : 학생증 및 주민등록등본 * 성 인 : 신분증(주민등록증 혹은 운전면허증) * 직장인회원 : 신분증 재직증명서 * 현재 주민등록상 거주지 확인 가능 서류  2. 대출  - 기준 : 회원카드 소지자에 한해 대출가능   (대리대출시 의료보험증 혹은 주민등록등본 항시지참)  - 1인 5권 / 회원카드 통합 5권  - 기간 14일  - 연기 7일(반납예정일 3일전부터 가능)  - 연체료 1일 1권 100원. 30일 경과 시에는 30일까지는 연체료(3000원)을 지불하고 그 이후는 연체일만큼 대출불가(한 도서관 연체시 타도서관 대출 불가)  - 예약 : 1권 최대 3명 1인 최대 3권  - 자료분실 동일도서 혹은 현금(도서정가)로 변상 + 정리비용 1000원   ▣ 도서관 이용시간   1. 평일 : 10:00 ~ 21:00  2. 주말 : 토요일 10:00 ~ 17:00  3. 점심시간 : 12:00 ~ 13:00 ","주차시설 없음 (공영주차장 이용)"
